timestep,duration,speed,x_velo_mf,y_velo_mf,x_pos_sf,y_pos_sf,x_pos_nh,y_pos_nh,heading_mf,heading_sf,x_pos_odo,y_pos_odo,heading_odo
3490.41,0.1000000000003638,0.002058399294014773,-0.0006336587485853462,-0.00195843923672443,-0.00020583992940222614,2.520812106791534e-20,-6.336587485876514e-05,-0.0001958439236731555,4.39946646501168,3.141592653589793,490371,4416170,0.0003165084509401157
3490.51,0.09999999999990905,0.001226126179448877,-0.0002781487562082234,0.0011941602393940765,-0.0003284525473470023,4.022383607803009e-20,-9.118075047956218e-05,-7.642789973385646e-05,1.799640167104044,3.141592653589793,490371,4416170,0.0003165084509401157
3490.61,0.09999999999990905,0.0008390508253032346,-0.00011421675631168397,0.0008312405307849687,-0.00041235762987724945,5.049924515331626e-20,-0.00010260242611072019,6.696153344564807e-06,1.7073464293589904,3.141592653589793,490371,4416170,0.0003165084509401157
3490.71,0.09999999999990905,0.001909348139805493,-0.001606238746799066,-0.0010322826198575963,-0.0006032924438576251,7.388201603200249e-20,-0.0002632263007904807,-9.653210864110093e-05,3.712798216430689,3.141592653589793,490371,4416170,0.0003165084509401157
3490.81,0.09999999999990905,0.001323861865961522,-0.0009379093048814437,-0.0009343106421121029,-0.0007356786304536569,9.009464799861795e-20,-0.0003570172312785398,-0.00018996317285222626,3.9250686826016716,3.141592653589793,490371,4416170,0.0003165084509401157
3490.91,0.1000000000003638,0.0005039132392031567,-6.308061550213029e-05,0.0004999493860303163,-0.0007860699543741559,9.62658053530216e-20,-0.0003633252928287758,-0.00013996823424901274,1.6963070955747845,3.141592653589793,490371,4416170,0.0003165070458910181
3491.01,0.09999999999990905,0.0015966166100811541,-0.0005395272208034128,-0.0015026959032349763,-0.0009457316153821261,1.1581871956301765e-19,-0.000417278014909068,-0.0002902378245723737,4.367683940289708,3.141592653589793,490371,4416170,0.0003165070458910181
3491.11,0.09999999999990905,0.0006141665701984571,0.0006005838922371053,0.00012845062995044197,-0.001007148272401916,1.233400908063793e-19,-0.0003572196256854121,-0.0002773927615773412,0.21070181142819294,3.141592653589793,490371,4416170,0.0003165070458910181
3491.21,0.09999999999990905,0.0013162594017769908,0.0007934350099676629,-0.001050237924340926,-0.0011387742125794952,1.3945961943870265e-19,-0.000277876124688718,-0.0003824165540113382,5.359388839317232,3.141592653589793,490371,4416170,0.0003165070458910181
3491.31,0.09999999999990905,0.00018177595627853174,9.62867628189472e-05,-0.00015417962766469016,-0.0011569518082073318,1.4168573286888517e-19,-0.000268247448406832,-0.0003978345167777932,5.270636061767291,3.141592653589793,490371,4416170,0.0003165070458910181
3491.41,0.1000000000003638,0.0006248093650170484,-0.0005957680464993613,-0.00018827420796100074,-0.001219432744709264,1.4933744075836719e-19,-0.00032782425305698487,-0.00041666193757396175,3.447680507439799,3.141592653589793,490371,4416170,0.0003165073538188122
3491.51,0.09999999999990905,0.0003876488151991983,0.0003852789964359148,-4.2798350793885875e-05,-0.0012581976262291486,1.5408476956563249e-19,-0.00028929635341342844,-0.00042094177265334645,6.1725548184906085,3.141592653589793,490371,4416170,0.00031888619571616473
3491.61,0.09999999999990905,0.0016126381969363511,0.0007167479552547917,0.001444601786948985,-0.001419461445922637,1.7383389162622315e-19,-0.00021762155788801447,-0.00027648159395857934,1.1102285820780182,3.141592653589793,490371,4416170,0.00031888793257990583
3491.71,0.09999999999990905,0.001511581210021411,-0.0011551489162519844,0.0009749403754956808,-0.0015706195669246406,1.9234542253124635e-19,-0.0003331364495131079,-0.00017898755640909992,2.440594912771552,3.141592653589793,490371,4416170,0.0003188879240303613
3491.81,0.09999999999990905,0.0010079278228316514,-0.00025981452133190216,-0.0009738659612817502,-0.0016714123492077141,2.0468897835125855e-19,-0.00035911790164627446,-0.00027637415253718635,4.4516744938523924,3.141592653589793,490371,4416170,0.0003188879240303613
3491.91,0.1000000000003638,0.0014862859064814597,-0.0014498741931671228,0.00032697189450073304,-0.0018200409398564008,2.228907311312282e-19,-0.0005041053209635141,-0.0002436769630869941,2.9197857733616295,3.141592653589793,490371,4416170,0.0003188879240303613
3492.01,0.09999999999990905,0.0020686140031974816,-0.0014960373161255554,0.0014286483972568466,-0.002026902340175961,2.48223946308077e-19,-0.0006537090525759337,-0.00010081212336143937,2.3792318362582834,3.141592653589793,490371,4416170,0.00032126847598620476
3492.11,0.09999999999990905,0.0008707014945407357,-0.0008085161755895776,-0.0003231449928522398,-0.002113972489629955,2.588869642910886e-19,-0.0007345606701348179,-0.00013312662264663397,3.521820203043625,3.141592653589793,490371,4416170,0.00032126847598620476
3492.21,0.09999999999990905,0.0010932655803772794,-0.0010467241281506352,-0.00031559187059390794,-0.0022232990476675836,2.722756062273465e-19,-0.0008392330829497861,-0.00016468580970599607,3.4344290072224264,3.141592653589793,490371,4416170,0.00032126847598620476
3492.31,0.09999999999990905,0.0004420107426507508,0.00019296945620453463,-0.00039766353314176856,-0.0022675001219326185,2.7768867663910144e-19,-0.0008199361373293502,-0.00020445216302013676,5.1641736813772905,3.141592653589793,490371,4416170,0.0003188879240303613
3492.41,0.1000000000003638,0.0013177314502468014,0.0013163654073552506,-5.998574237253163e-05,-0.002399273266957778,2.938262326659656e-19,-0.0006882995965933462,-0.00021045073725741174,6.2376475921274475,3.141592653589793,490371,4416170,0.00032126847598620476
3492.51,0.09999999999990905,0.0016804275605100142,-0.0007368065962525424,-0.0015102823662614818,-0.0025673160230086263,3.144055349977227e-19,-0.0007619802562185334,-0.00036147897388342257,4.258500324239795,3.141592653589793,490371,4416170,0.00032126847598620476
