 Time, x,y,z,q_x,q_y_,q_z,q_w,x_dot,y_dot,z_dot 
3494.86,490371,4416170,1642.73,-0.0049085,-0.000045848,0.00933999,0.999944,0.0271267,0,0
3494.94,490371,4416170,1642.73,-0.0049085,-0.000045848,0.00933999,0.999944,0.0249566,0,0
3495.07,490371,4416170,1642.73,-0.00484033,-4.52E-05,0.00933999,0.999945,0.0249566,0,0
3495.14,490371,4416170,1642.73,-0.00484033,-4.52E-05,0.00933999,0.999945,0.0260417,0,0
3495.34,490371,4416170,1642.73,-0.00484033,-4.52E-05,0.00933999,0.999945,0.0325521,0,0
3495.46,490371,4416170,1642.73,-0.00484033,-4.52E-05,0.00933999,0.999945,0.0347222,0,0
3495.55,490371,4416170,1642.73,-0.00484033,-4.52E-05,0.00933999,0.999945,0.0336372,0,0
3495.66,490371,4416170,1642.73,-0.00477216,-4.46E-05,0.00933999,0.999945,0.0336372,0,0
3495.74,490371,4416170,1642.73,-0.00470398,-4.43E-05,0.00940819,0.999945,0.0347222,0,0
3495.85,490371,4416170,1642.73,-0.00470398,-4.43E-05,0.00940819,0.999945,0.031467,0,0
3495.94,490371,4416170,1642.73,-0.00470398,-0.000044579,0.00947634,0.999944,0.0325521,0,0
3496.06,490371,4416170,1642.73,-0.00463581,-0.000043617,0.00940819,0.999945,0.0325521,0,0
3496.14,490371,4416170,1642.73,-0.00463581,-4.39E-05,0.00947638,0.999944,0.0368924,0,0
3496.36,490371,4416170,1642.73,-0.00456763,-0.000043598,0.00954449,0.999944,0.0390625,0,0
3496.47,490371,4416170,1642.73,-0.00449946,-4.29E-05,0.00954453,0.999944,0.0412326,0,0
3496.54,490371,4416170,1642.73,-0.00449946,-4.29E-05,0.00954453,0.999944,0.0412326,0,0
3496.66,490371,4416170,1642.73,-0.00449946,-4.29E-05,0.00954453,0.999944,0.0379774,0,0
3496.74,490371,4416170,1642.73,-0.00443128,-4.23E-05,0.00954453,0.999945,0.0379774,0,0
3496.86,490371,4416170,1642.73,-0.00443128,-4.23E-05,0.00954453,0.999945,0.0368924,0,0
3496.94,490371,4416170,1642.73,-0.00443128,-4.23E-05,0.00954453,0.999945,0.0368924,0,0
3497.06,490371,4416170,1642.73,-0.00436311,-4.19E-05,0.00961268,0.999944,0.0423177,0,0
