Time, x,y,z,q_x,q_y_,q_z,q_w,x_dot,y_dot,z_dot
293.367,947459,533818,1660.78,0.00250363,0.00664234,0.99692,0.0781039,0.00300152,0,0
293.374,947459,533818,1660.78,0.00250363,0.00664234,0.99692,0.0781039,0.00200152,0,0
293.393,947459,533818,1660.78,0.00250363,0.00664234,0.99692,0.0781039,0.00200152,0,0
293.42,947459,533818,1660.78,0.00250363,0.00664234,0.99692,0.0781039,0.00200152,0,0
293.433,947459,533818,1660.79,0.00243566,0.00664767,0.99692,0.0781043,0.00300152,0,0
293.454,947459,533818,1660.79,0.00243566,0.00664767,0.99692,0.0781043,0.00300152,0,0
293.473,947459,533818,1660.79,0.00243566,0.00664767,0.99692,0.0781043,0.00300152,0,0
293.493,947459,533818,1660.79,0.00243566,0.00664767,0.99692,0.0781043,0.00200152,0,0
293.513,947459,533818,1660.79,0.00243566,0.00664767,0.99692,0.0781043,0.00200152,0,0
293.533,947459,533818,1660.79,0.00243566,0.00664767,0.99692,0.0781043,0.00200152,0,0
293.567,947459,533818,1660.79,0.00243566,0.00664767,0.99692,0.0781043,0.00300152,0,0
293.573,947459,533818,1660.79,0.00243566,0.00664767,0.99692,0.0781043,0.00400152,0,0
293.593,947459,533818,1660.79,0.00243566,0.00664767,0.99692,0.0781043,0.00400152,0,0
293.617,947459,533818,1660.79,0.00243566,0.00664767,0.99692,0.0781043,0.00300152,0,0
293.634,947459,533818,1660.78,0.00243566,0.00664767,0.99692,0.0781043,0.00300152,0,0
293.653,947459,533818,1660.78,0.00243566,0.00664767,0.99692,0.0781043,0.00300152,0,0
293.673,947459,533818,1660.78,0.00243566,0.00664767,0.99692,0.0781043,0.00300152,0,0
293.693,947459,533818,1660.78,0.00243566,0.00664767,0.99692,0.0781043,0.00300152,0,0
293.713,947459,533818,1660.78,0.00243566,0.00664767,0.99692,0.0781043,0.00300152,0,0
293.733,947459,533818,1660.78,0.00243566,0.00664767,0.99692,0.0781043,0.00100152,0,0
293.76,947459,533818,1660.78,0.00243566,0.00664767,0.99692,0.0781043,-0.00099848,0,0
293.773,947459,533818,1660.78,0.00243566,0.00664767,0.99692,0.0781043,-0.00199848,0,0
293.793,947459,533818,1660.78,0.00243566,0.00664767,0.99692,0.0781043,-0.00399848,0,0
293.82,947459,533818,1660.78,0.00243566,0.00664767,0.99692,0.0781043,-0.00599848,0,0
293.833,947459,533818,1660.78,0.00243034,0.0065797,0.996921,0.0781045,-0.00799848,0,0
293.853,947459,533818,1660.78,0.00243034,0.0065797,0.996921,0.0781045,-0.00999848,0,0
293.873,947459,533818,1660.78,0.00243034,0.0065797,0.996921,0.0781045,-0.0119985,0,0
293.893,947459,533818,1660.78,0.00243034,0.0065797,0.996921,0.0781045,-0.0159985,0,0
293.913,947459,533818,1660.78,0.00243034,0.0065797,0.996921,0.0781045,-0.0209985,0,0
293.933,947459,533818,1660.78,0.00235172,0.0064491,0.996921,0.0781053,-0.0259985,0,0
293.953,947459,533818,1660.78,0.00235172,0.0064491,0.996921,0.0781053,-0.0319985,0,0
293.973,947459,533818,1660.78,0.00235172,0.0064491,0.996921,0.0781053,-0.0399985,0,0
293.993,947459,533818,1660.78,0.00235172,0.0064491,0.996921,0.0781053,-0.0469985,0,0
294.016,947459,533818,1660.78,0.00235172,0.0064491,0.996921,0.0781053,-0.0539985,0,0
294.033,947459,533818,1660.78,0.00233532,0.00624535,0.996928,0.0780378,-0.0619985,0,0
294.053,947459,533818,1660.78,0.00233532,0.00624535,0.996928,0.0780378,-0.0709985,0,0
294.073,947459,533818,1660.78,0.00233532,0.00624535,0.996928,0.0780378,-0.0819985,0,0
294.093,947459,533818,1660.78,0.00233532,0.00624535,0.996928,0.0780378,-0.0929985,0,0
294.113,947459,533818,1660.78,0.00233532,0.00624535,0.996928,0.0780378,-0.104998,0,0
294.133,947459,533818,1660.78,0.00231363,0.00597364,0.996935,0.0779705,-0.118998,0,0
294.153,947459,533818,1660.78,0.00231363,0.00597364,0.996935,0.0779705,-0.132998,0,0
294.173,947459,533818,1660.78,0.00231363,0.00597364,0.996935,0.0779705,-0.146998,0,0
294.193,947459,533818,1660.78,0.00231363,0.00597364,0.996935,0.0779705,-0.160998,0,0
294.214,947459,533818,1660.78,0.00231363,0.00597364,0.996935,0.0779705,-0.175998,0,0
294.233,947459,533818,1660.78,0.0024226,0.00562333,0.996942,0.0779025,-0.189998,0,0
294.253,947459,533818,1660.78,0.0024226,0.00562333,0.996942,0.0779025,-0.204998,0,0
294.273,947459,533818,1660.78,0.0024226,0.00562333,0.996942,0.0779025,-0.221998,0,0
294.293,947459,533818,1660.78,0.0024226,0.00562333,0.996942,0.0779025,-0.238998,0,0
294.313,947459,533818,1660.78,0.0024226,0.00562333,0.996942,0.0779025,-0.256998,0,0
