timestep,duration,speed,x_velo_mf,y_velo_mf,x_pos_sf,y_pos_sf,x_pos_nh,y_pos_nh,heading_mf,heading_sf,x_pos_odo,y_pos_odo,heading_odo
3490.409912,0.100098,0.003995,-0.001344,0.003762,-0.000135,0.000377,0.000000,0.000000,1.913932,1.913932,490371.000000,4416170.000000,0.000317
3490.510010,0.100098,0.001311,-0.000444,0.001233,-0.000044,0.000123,0.000135,-0.000377,1.916391,1.916391,490371.000000,4416170.000000,0.000317
3490.610107,0.099854,0.000780,0.000719,-0.000304,0.000072,-0.000030,0.000179,-0.000500,5.883564,5.883564,490371.000000,4416170.000000,0.000317
3490.709961,0.100098,0.004600,0.002003,-0.004142,0.000200,-0.000415,0.000107,-0.000470,5.162852,5.162852,490371.000000,4416170.000000,0.000317
3490.810059,0.099854,0.005342,0.001952,-0.004973,0.000195,-0.000497,-0.000093,-0.000055,5.086490,5.086490,490371.000000,4416170.000000,0.000317
3490.909912,0.100098,0.006538,0.002305,-0.006118,0.000231,-0.000612,-0.000288,0.000441,5.072623,5.072623,490371.000000,4416170.000000,0.000317
3491.010010,0.100098,0.004997,0.001835,-0.004648,0.000184,-0.000465,-0.000519,0.001054,5.088332,5.088332,490371.000000,4416170.000000,0.000317
3491.110107,0.099854,0.003948,0.001730,-0.003549,0.000173,-0.000354,-0.000703,0.001519,5.165945,5.165945,490371.000000,4416170.000000,0.000317
3491.209961,0.100098,0.001832,0.001632,-0.000832,0.000163,-0.000083,-0.000875,0.001873,5.811968,5.811968,490371.000000,4416170.000000,0.000317
3491.310059,0.099854,0.000985,-0.000069,-0.000982,-0.000007,-0.000098,-0.001039,0.001957,4.642483,4.642483,490371.000000,4416170.000000,0.000317
3491.409912,0.100098,0.002912,-0.001313,0.002600,-0.000131,0.000260,-0.001032,0.002055,2.038549,2.038549,490371.000000,4416170.000000,0.000317
3491.510010,0.100098,0.004362,-0.002445,0.003613,-0.000245,0.000362,-0.000900,0.001795,2.165710,2.165710,490371.000000,4416170.000000,0.000319
3491.610107,0.099854,0.005778,-0.002164,0.005357,-0.000216,0.000535,-0.000656,0.001433,1.954761,1.954761,490371.000000,4416170.000000,0.000319
3491.709961,0.100098,0.005643,-0.001149,0.005524,-0.000115,0.000553,-0.000440,0.000898,1.775870,1.775870,490371.000000,4416170.000000,0.000319
3491.810059,0.099854,0.004706,-0.002554,0.003952,-0.000255,0.000395,-0.000325,0.000345,2.144521,2.144521,490371.000000,4416170.000000,0.000319
3491.909912,0.100098,0.003447,-0.001630,0.003037,-0.000163,0.000304,-0.000069,-0.000050,2.063428,2.063428,490371.000000,4416170.000000,0.000319
3492.010010,0.100098,0.000937,-0.000920,-0.000180,-0.000092,-0.000018,0.000094,-0.000354,3.334754,3.334754,490371.000000,4416170.000000,0.000321
3492.110107,0.099854,0.002219,-0.000242,-0.002206,-0.000024,-0.000220,0.000186,-0.000336,4.603134,4.603134,490371.000000,4416170.000000,0.000321
3492.209961,0.100098,0.002754,0.000973,-0.002576,0.000097,-0.000258,0.000210,-0.000115,5.073609,5.073609,490371.000000,4416170.000000,0.000321
3492.310059,0.099854,0.006814,0.003426,-0.005890,0.000342,-0.000588,0.000113,0.000143,5.239164,5.239164,490371.000000,4416170.000000,0.000319
3492.409912,0.100098,0.003406,0.002286,-0.002525,0.000229,-0.000253,-0.000230,0.000731,5.448134,5.448134,490371.000000,4416170.000000,0.000321
3492.510010,0.100098,0.005632,0.003311,-0.004557,0.000331,-0.000456,-0.000458,0.000983,5.340725,5.340725,490371.000000,4416170.000000,0.000321
3492.610107,0.099854,0.002055,0.001297,-0.001594,0.000130,-0.000159,-0.000790,0.001439,5.395419,5.395419,490371.000000,4416170.000000,0.000321
3492.709961,0.100098,0.001816,0.001693,-0.000658,0.000169,-0.000066,-0.000919,0.001599,5.912368,5.912368,490371.000000,4416170.000000,0.000324
3492.810059,0.099854,0.001383,0.000925,-0.001028,0.000092,-0.000103,-0.001089,0.001665,5.445235,5.445235,490371.000000,4416170.000000,0.000324
3492.909912,0.100098,0.005348,-0.002526,0.004714,-0.000253,0.000472,-0.001181,0.001767,2.062627,2.062627,490371.000000,4416170.000000,0.000326
3493.010010,0.100098,0.001464,-0.000523,0.001367,-0.000052,0.000137,-0.000928,0.001295,1.936259,1.936259,490371.000000,4416170.000000,0.000326
3493.110107,0.099854,0.009284,-0.005851,0.007207,-0.000584,0.000720,-0.000876,0.001158,2.252749,2.252749,490371.000000,4416170.000000,0.000326
3493.209961,0.100098,0.004760,-0.002596,0.003990,-0.000260,0.000399,-0.000292,0.000439,2.147612,2.147612,490371.000000,4416170.000000,0.000328
3493.310059,0.099854,0.003320,-0.002850,0.001702,-0.000285,0.000170,-0.000032,0.000039,2.603179,2.603179,490371.000000,4416170.000000,0.000328
3493.409912,0.100098,0.001451,0.000693,-0.001275,0.000069,-0.000128,0.000253,-0.000131,5.210114,5.210114,490371.000000,4416170.000000,0.000326
3493.510010,0.100098,0.002780,0.002498,-0.001219,0.000250,-0.000122,0.000184,-0.000003,5.829306,5.829306,490371.000000,4416170.000000,0.000326
3493.610107,0.099854,0.000760,0.000063,0.000757,0.000006,0.000076,-0.000067,0.000119,1.487466,1.487466,490371.000000,4416170.000000,0.000328
3493.709961,0.100098,0.000975,-0.000639,0.000736,-0.000064,0.000074,-0.000073,0.000043,2.285536,2.285536,490371.000000,4416170.000000,0.000328
3493.810059,0.099854,0.000826,0.000373,-0.000737,0.000037,-0.000074,-0.000009,-0.000030,5.180580,5.180580,490371.000000,4416170.000000,0.000328
3493.909912,0.100098,0.002914,0.002811,-0.000770,0.000281,-0.000077,-0.000046,0.000043,6.015703,6.015703,490371.000000,4416170.000000,0.000326
3494.010010,0.100098,0.012724,0.012488,-0.002435,0.001250,-0.000244,-0.000327,0.000120,6.090621,6.090621,490371.000000,4416170.000000,0.000326
